id_direccion,id_cliente,id_tipo_vial,id_nom_vial,id_tipo_vial1,id_nom_vial1,id_tipo_vial2,id_nom_vial2,id_tipo_vial3,id_nom_vial3,numero_ext,numero_int,id_tipo_asent,id_nombre_asent,cod_postal
255,6186043,7,12280,7,12280,7,12280,7,16172,,#N/A,26,1604,22960
256,6186044,10,16787,7,12280,7,12280,#N/A,12280,,#N/A,26,1604,22960
257,9290983,6,9792,6,15413,7,12280,#N/A,16172,,#N/A,#N/A,2665,#N/A
258,6186033,6,9792,7,11570,7,12280,7,12280,0,0,22,3813,#N/A
259,6188988,18,12280,18,12280,18,12280,18,12280,0,#N/A,8,4507,#N/A
260,9223688,10,11518,18,12280,7,12280,18,12280,123,#N/A,21,3201,21850
261,6512881,18,12280,18,12280,18,12280,18,12280,14487,#N/A,8,1240,21611
262,6188993,7,11615,5,9556,5,10112,7,17353,,#N/A,8,1783,#N/A
263,9301123,7,16464,7,6548,10,6548,7,16464,130,220,8,#N/A,#N/A
264,9586852,10,16787,18,12280,18,12280,18,12280,0,#N/A,29,1636,#N/A
265,6186053,3,12280,18,12281,18,12281,18,12281,19701,#N/A,8,2649,#N/A
266,6186035,7,495,7,4571,10,10267,7,15253,21837,0,8,1579,#N/A
267,9311574,7,495,#N/A,17222,10,10267,#N/A,4571,21837,#N/A,8,1578,22250
268,6694572,7,1102,7,12280,7,12280,6,89,21837,#N/A,8,1578,#N/A
269,6423473,7,12280,6,5283,7,12280,7,12280,2186,#N/A,16,3731,#N/A
270,6723439,10,16791,6,9907,6,5699,5,1,727,#N/A,#N/A,4765,#N/A
271,6188987,7,11615,7,11615,7,12280,7,12280,0,#N/A,13,3413,#N/A
272,8690685,7,12280,18,12280,18,12280,18,12280,0,#N/A,13,2396,#N/A
273,6186050,10,11498,18,12280,18,12280,18,12280,,#N/A,40,1366,#N/A
274,6186054,10,11497,7,12280,7,12280,7,12280,140,0,13,1330,21850
275,6186058,7,7862,5,10109,5,9555,7,683,0,#N/A,13,1327,#N/A
276,8833939,#N/A,11497,#N/A,12280,#N/A,12280,#N/A,12280,0,0,13,2348,21703
277,6186046,7,12280,7,12280,7,12280,7,12280,0,0,26,1604,#N/A
278,9275386,7,13759,7,5345,7,14332,#N/A,12280,,#N/A,13,3380,22920
279,11459594,7,638,7,11719,7,10109,7,12280,,#N/A,16,1202,22710
280,79238,5,10109,7,7536,7,7532,8,15716,0,#N/A,6,3171,21960
281,94348,5,7442,7,14,22,15,5,11707,1306,#N/A,6,#N/A,22800
282,9480298,10,16787,#N/A,1,#N/A,1,#N/A,1,1011,#N/A,8,4825,22920
283,9423948,5,13001,7,9378,5,15195,5,15195,10289,302,8,5179,22010
284,10804448,5,8616,7,13513,9,17613,7,13513,,#N/A,16,3391,21700
285,9725542,5,7337,9,12367,7,11558,5,6636,,#N/A,16,3391,21700
286,100297,7,12962,10,16789,6,17746,5,7632,0,#N/A,8,4444,22785
287,9480299,10,11492,#N/A,1,#N/A,1,#N/A,1,0,#N/A,8,3961,21188
288,58543,9,8650,22,12280,7,11711,7,16303,474,#N/A,8,873,21010
289,9473771,7,5865,#N/A,1,#N/A,1,#N/A,1,474,#N/A,8,2395,21010
290,9471975,5,14727,#N/A,1,#N/A,1,#N/A,1,704,#N/A,13,4537,21210
291,9284898,6,5409,7,2629,7,11229,7,15352,0,#N/A,8,2193,22203
292,120735,5,6535,7,9775,7,15560,7,3085,2494,#N/A,8,2058,26615
293,78381,9,3784,7,16021,7,14332,5,11378,0,#N/A,26,2212,21720
294,126970,6,7923,18,10954,18,5650,18,10954,17171,#N/A,16,2486,22126
295,9274901,5,7150,6,11009,5,6844,6,4366,11034,#N/A,8,3123,22206
